timestamp,mid_price,bid_price,ask_price,inventory,realized_pnl,total_pnl
2025-12-19T13:01:54.307804,983.1,983.08,983.11,0,2.85,2.85
2025-12-19T13:01:55.368199,983.2,983.17,983.22,0,2.85,2.85
2025-12-19T13:01:56.429236,983.25,983.19,983.3,0,2.85,2.85
2025-12-19T13:01:57.486807,983.15,983.1,983.19,0,2.85,2.85
2025-12-19T13:01:58.543953,983.3,983.22,983.37,0,2.85,2.85
2025-12-19T13:01:59.601492,983.15,983.1,983.19,0,2.85,2.85
2025-12-19T13:02:00.654767,983.1,983.06,983.13,0,2.85,2.85
2025-12-19T13:02:01.718026,983.15,983.12,983.17,0,2.85,2.85
2025-12-19T13:02:02.775974,983.15,983.11,983.18,1,2.85,2.89
2025-12-19T13:02:03.833225,983.15,983.09,983.16,0,2.9,2.9
2025-12-19T13:02:04.892036,983.2,983.17,983.22,0,2.9,2.9
2025-12-19T13:02:05.951414,983.2,983.17,983.22,-1,2.9,2.92
2025-12-19T13:02:07.008818,983.15,983.15,983.18,-1,2.9,2.97
2025-12-19T13:02:08.066824,983.15,983.15,983.18,-1,2.9,2.97
2025-12-19T13:02:09.129888,983.15,983.12,983.21,0,3.0,3.0
2025-12-19T13:02:10.204272,983.15,983.11,983.18,0,3.0,3.0
2025-12-19T13:02:11.261339,983.3,983.24,983.35,0,3.0,3.0
2025-12-19T13:02:12.316587,983.3,983.25,983.34,0,3.0,3.0
2025-12-19T13:02:13.372534,983.3,983.25,983.34,0,3.0,3.0
2025-12-19T13:02:14.427962,983.45,983.39,983.5,0,3.0,3.0
2025-12-19T13:02:15.486175,983.5,983.43,983.56,1,3.0,3.07
2025-12-19T13:02:16.545008,983.55,983.4,983.65,1,3.0,3.12
2025-12-19T13:02:17.601290,983.45,983.37,983.48,1,3.0,3.02
2025-12-19T13:02:18.654986,983.45,983.36,983.49,1,3.0,3.02
2025-12-19T13:02:19.712334,983.4,983.32,983.43,1,3.0,2.97
2025-12-19T13:02:20.770200,983.4,983.32,983.43,1,3.0,2.97
2025-12-19T13:02:21.827910,983.25,983.19,983.26,1,3.0,2.82
2025-12-19T13:02:22.886391,983.25,983.18,983.27,1,3.0,2.82
2025-12-19T13:02:23.938856,983.25,983.18,983.27,0,2.84,2.84
2025-12-19T13:02:24.997482,983.25,983.19,983.3,0,2.84,2.84
